001,"BANCO DO BRASIL S.A. (Banco do Brasil)"
003,"BANCO DA AMAZONIA S.A. (Banco da Amazônia (Basa))"
004,"BANCO DO NORDESTE DO BRASIL S.A (Banco do Nordeste (BNB) )"
021,"BANESTES S.A BANCO DO ESTADO DO ESPIRITO SANTO (Banestes)"
025,"Banco Alfa S.A (Alfa)"
027,"BANCO DO ESTADO DE SANTA CATARINA S.A."
033,"BANCO SANTANDER S.A. (Santander Banespa)"
041,"BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. (Banrisul)"
047,"Banco do Estado de Sergipe S.A (Banese)"
063,"BANCO IBI S.A - BANCO MULTIPLO (Banco IBI)"
065,"LEMON BANK BANCO MÚLTIPLO S..A (Lemon Bank)"
069,"BPN BRASIL BANCO MÚLTIPLO S.A. (BPN)"
070,"Banco de Brasília S.A. (BRB)"
077,"BANCO INTERMEDIUM S.A."
085,"CECRED-COOPERATIVA CENTRAL DE CREDITO URBANO"
104,"CAIXA ECONOMICA FEDERAL (Caixa Econômica Federal)"
107,"Banco BBM S.A (BBM)"
151,"BANCO NOSSA CAIXA S.A (Nossa Caixa)"
208,"BANCO UBS PACTUAL S.A."
212,"BANCO ORIGINAL"
215,"BANCO ACOMERCIAL E DE INVESTIMENTO SUDAMERIS S.A. (Sudameris)"
229,"BANCO CRUZEIRO DO SUL S.A. (Cruzeiro do Sul)"
237,"BANCO BRADESCO S.A. (Bradesco)"
252,"BANCO FININVEST S.A. (Fininvest)"
263,"Banco Cacique S. A. (Cacique)"
318,"BANCO BMG S.A. (BMG)"
341,"BANCO ITAU S.A. (Itaú)"
356,"BANCO ABN AMRO REAL S.A. (Real)"
389,"BANCO MERCANTIL DO BRASIL S.A. (Mercantil do Brasil)"
399,"HSBC BANK BRASIL S.A.BANCO MULTIPLO (HSBC)"
409,"UNIBANCO UNIAO DE BANCOS BRASILEIROS S.A. (Unibanco)"
422,"BANCO SAFRA S.A. (Safra)"
479,"BANCO ITAUBANK S.A."
623,"BANCO PANAMERICANO S.A. (PanAmericano)"
633,"BANCO RENDIMENTO S.A. (Banco Rendimento)"
655,"Banco Votorantim S.A (Votorantim)"
719,"BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A. (Banif)"
735,"BANCO NEON"
745,"BANCO CITIBANK S.A."
748,"BANCO COOPERATIVO SICREDI S.A. (SICREDI)"
749,"BANCO SIMPLES S.A. (Banco Simples)"
756,"BANCO COOPERATIVO DO BRASIL S.A. - (BANCOOB)"